City,Madras,Trichy,Madurai,Coimbatore,Salem,Thanjavur,Tiruppur,Erode,Tirunelveli,Vellore,Thoothukudi,Nagapattinam,Kumbakonam,Cuddalore,Kanchipuram
1871,367552,76530,51987,35310,50012,52171,2000,10201,,,,48525,44444,40300,37275
1872,371381.6,77321.9,54169,35675.7,50077.5,52428.4,2168.1,10420.9,,,,49058,45430.3,40626.4,37278.7
1873,375211.2,78113.8,56351,36041.4,50143,52685.8,2336.2,10640.8,,,,49591,46416.6,40952.8,37282.4
1874,379040.8,78905.7,58533,36407.1,50208.5,52943.2,2504.3,10860.7,,,,50124,47402.9,41279.2,37286.1
1875,382870.4,79697.6,60715,36772.8,50274,53200.6,2672.4,11080.6,,,,50657,48389.2,41605.6,37289.8
1876,386700,80489.5,62897,37138.5,50339.5,53458,2840.5,11300.5,,,,51190,49375.5,41932,37293.5
1877,390529.6,81281.4,65079,37504.2,50405,53715.4,3008.6,11520.4,,,,51723,50361.8,42258.4,37297.2
1878,394359.2,82073.3,67261,37869.9,50470.5,53972.8,3176.7,11740.3,,,,52256,51348.1,42584.8,37300.9
1879,398188.8,82865.2,69443,38235.6,50536,54230.2,3344.8,11960.2,,,,52789,52334.4,42911.2,37304.6
1880,402018.4,83657.1,71625,38601.3,50601.5,54487.6,3512.9,12180.1,,,,53322,53320.7,43237.6,37308.3
1881,405848,84449,73807,38967,50667,54745,3681,12400,,,,53855,54307,43564,37312
1882,410515,85065,75169.1,39708.6,52371.3,54709.5,3836.4,12560,,,,54391.6,54317.5,43943.1,37835.5
1883,415182,85681,76531.2,40450.2,54075.6,54674,3991.8,12720,,,,54928.2,54328,44322.2,38359
1884,419849,86297,77893.3,41191.8,55779.9,54638.5,4147.2,12880,,,,55464.8,54338.5,44701.3,38882.5
1885,424516,86913,79255.4,41933.4,57484.2,54603,4302.6,13040,,,,56001.4,54349,45080.4,39406
1886,429183,87529,80617.5,42675,59188.5,54567.5,4458,13200,,,,56538,54359.5,45459.5,39929.5
1887,433850,88145,81979.6,43416.6,60892.8,54532,4613.4,13360,,,,57074.6,54370,45838.6,40453
1888,438517,88761,83341.7,44158.2,62597.1,54496.5,4768.8,13520,,,,57611.2,54380.5,46217.7,40976.5
1889,443184,89377,84703.8,44899.8,64301.4,54461,4924.2,13680,,,,58147.8,54391,46596.8,41500
1890,447851,89993,86065.9,45641.4,66005.7,54425.5,5079.6,13840,,,,58684.4,54401.5,46975.9,42023.5
1891,452518,90609,87428,46383,67710,54390,5235,14000,24768,44925,25107,59221,54412,47355,42547
1892,458200.8,92020.2,89283.6,47052.7,68001.1,54738,5317.1,14152.9,26338.1,44786.2,25401.1,59017.9,54938.1,47841.1,42908.7
1893,463883.6,93431.4,91139.2,47722.4,68292.2,55086,5399.2,14305.8,27908.2,44647.4,25695.2,58814.8,55464.2,48327.2,43270.4
1894,469566.4,94842.6,92994.8,48392.1,68583.3,55434,5481.3,14458.7,29478.3,44508.6,25989.3,58611.7,55990.3,48813.3,43632.1
1895,475249.2,96253.8,94850.4,49061.8,68874.4,55782,5563.4,14611.6,31048.4,44369.8,26283.4,58408.6,56516.4,49299.4,43993.8
1896,480932,97665,96706,49731.5,69165.5,56130,5645.5,14764.5,32618.5,44231,26577.5,58205.5,57042.5,49785.5,44355.5
1897,486614.8,99076.2,98561.6,50401.2,69456.6,56478,5727.6,14917.4,34188.6,44092.2,26871.6,58002.4,57568.6,50271.6,44717.2
1898,492297.6,100487.4,100417.2,51070.9,69747.7,56826,5809.7,15070.3,35758.7,43953.4,27165.7,57799.3,58094.7,50757.7,45078.9
